Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
0.1901,2017-12-01 12:00:03+00:00,0.907,0.0,0.093,87,CBS
0.6952,2017-12-02 14:52:52+00:00,0.758,0.0,0.242,86,BBC
0.7783,2017-12-03 02:50:03+00:00,0.63,0.0,0.37,86,nytimes
0.296,2017-12-01 01:31:30+00:00,0.872,0.0,0.128,86,CBS
0.0,2017-12-03 02:00:17+00:00,1.0,0.0,0.0,86,CNN
0.3182,2017-11-30 04:54:56+00:00,0.909,0.0,0.091,86,fox
0.0,2017-12-03 02:37:51+00:00,1.0,0.0,0.0,85,nytimes
0.0,2017-12-02 14:52:22+00:00,1.0,0.0,0.0,85,BBC
0.0,2017-11-30 21:10:19+00:00,1.0,0.0,0.0,85,CBS
-0.5574,2017-12-03 01:45:05+00:00,0.685,0.315,0.0,85,CNN
0.8834,2017-11-30 04:36:36+00:00,0.474,0.0,0.526,85,fox
0.6115,2017-11-30 20:54:39+00:00,0.773,0.0,0.227,84,CBS
0.4019,2017-11-30 04:34:44+00:00,0.881,0.0,0.119,84,fox
0.7884,2017-12-02 14:51:55+00:00,0.782,0.0,0.218,84,BBC
-0.4404,2017-12-03 01:30:18+00:00,0.775,0.225,0.0,84,CNN
0.7269,2017-12-03 02:32:11+00:00,0.643,0.0,0.357,84,nytimes
0.0,2017-12-03 01:15:08+00:00,1.0,0.0,0.0,83,CNN
0.0,2017-12-03 02:14:57+00:00,1.0,0.0,0.0,83,nytimes
0.765,2017-12-02 14:30:04+00:00,0.708,0.0,0.292,83,BBC
0.0,2017-11-30 17:40:02+00:00,1.0,0.0,0.0,83,CBS
-0.3182,2017-11-30 04:33:38+00:00,0.897,0.103,0.0,83,fox
0.0,2017-12-02 13:47:35+00:00,1.0,0.0,0.0,82,BBC
0.2732,2017-11-30 03:58:45+00:00,0.916,0.0,0.084,82,fox
0.6808,2017-11-30 17:30:05+00:00,0.752,0.0,0.248,82,CBS
-0.7351,2017-12-03 02:00:09+00:00,0.733,0.267,0.0,82,nytimes
0.7096,2017-12-03 01:00:15+00:00,0.753,0.0,0.247,82,CNN
-0.3818,2017-12-02 13:33:03+00:00,0.843,0.157,0.0,81,BBC
0.3612,2017-11-30 15:00:05+00:00,0.865,0.0,0.135,81,CBS
-0.3612,2017-12-03 00:58:24+00:00,0.73,0.167,0.103,81,CNN
-0.5719,2017-12-03 01:36:04+00:00,0.821,0.179,0.0,81,nytimes
0.0,2017-11-30 03:16:02+00:00,1.0,0.0,0.0,81,fox
0.0,2017-12-03 00:21:41+00:00,1.0,0.0,0.0,80,fox
0.6166,2017-12-02 15:55:39+00:00,0.825,0.0,0.175,80,CBS
0.2732,2017-12-03 05:30:06+00:00,0.896,0.0,0.104,80,CNN
0.3291,2017-12-02 21:59:04+00:00,0.895,0.0,0.105,80,BBC
0.6369,2017-12-03 05:28:40+00:00,0.588,0.0,0.412,80,nytimes
0.8904,2017-12-02 04:47:26+00:00,0.274,0.0,0.726,79,fox
0.1867,2017-12-02 14:30:03+00:00,0.902,0.0,0.098,79,CBS
0.2023,2017-12-03 05:11:53+00:00,0.663,0.148,0.189,79,nytimes
0.4019,2017-12-03 05:15:08+00:00,0.847,0.0,0.153,79,CNN
0.0,2017-12-02 20:00:05+00:00,1.0,0.0,0.0,79,BBC
0.8074,2017-12-03 05:00:13+00:00,0.644,0.0,0.356,78,CNN
0.4215,2017-12-02 04:46:50+00:00,0.877,0.0,0.123,78,fox
0.6996,2017-12-02 13:00:07+00:00,0.821,0.0,0.179,78,CBS
0.4215,2017-12-03 05:00:08+00:00,0.877,0.0,0.123,78,nytimes
0.6369,2017-12-02 19:57:21+00:00,0.811,0.0,0.189,78,BBC
