Compound,DateHapp,Negative,Neutral,Positive,Tweets Ago,source
-0.7351,2017-12-02 19:41:03+00:00,0.733,0.267,0.0,32,nytimes
0.0,2017-11-29 15:00:07+00:00,1.0,0.0,0.0,32,CBS
-0.3182,2017-12-02 19:31:02+00:00,0.687,0.162,0.151,31,nytimes
-0.5994,2017-12-02 18:00:04+00:00,0.769,0.231,0.0,31,CNN
0.0,2017-11-29 01:14:28+00:00,1.0,0.0,0.0,31,fox
0.0,2017-12-01 11:02:10+00:00,1.0,0.0,0.0,31,BBC
0.6124,2017-11-29 12:00:06+00:00,0.8,0.0,0.2,31,CBS
0.4215,2017-11-28 06:01:23+00:00,0.882,0.0,0.118,30,fox
0.0,2017-12-02 17:45:05+00:00,1.0,0.0,0.0,30,CNN
0.4926,2017-11-29 09:09:48+00:00,0.842,0.0,0.158,30,CBS
0.6908,2017-12-02 19:21:03+00:00,0.563,0.095,0.342,30,nytimes
-0.2732,2017-12-01 10:34:22+00:00,0.798,0.122,0.08,30,BBC
0.6696,2017-11-29 08:39:05+00:00,0.809,0.0,0.191,29,CBS
0.7906,2017-11-28 04:35:27+00:00,0.704,0.0,0.296,29,fox
0.0,2017-12-02 19:06:06+00:00,1.0,0.0,0.0,29,nytimes
0.128,2017-12-02 17:30:04+00:00,0.842,0.0,0.158,29,CNN
0.5719,2017-12-01 10:30:07+00:00,0.829,0.0,0.171,29,BBC
0.0,2017-12-02 17:15:06+00:00,1.0,0.0,0.0,28,CNN
0.4019,2017-12-02 18:56:04+00:00,0.886,0.0,0.114,28,nytimes
-0.2263,2017-11-28 02:00:28+00:00,0.905,0.095,0.0,28,fox
0.6696,2017-11-29 08:22:35+00:00,0.817,0.0,0.183,28,CBS
0.5719,2017-12-01 10:00:05+00:00,0.821,0.0,0.179,28,BBC
0.0,2017-11-27 08:52:36+00:00,1.0,0.0,0.0,27,fox
0.296,2017-12-01 09:44:25+00:00,0.833,0.0,0.167,27,BBC
0.0,2017-12-02 18:46:02+00:00,1.0,0.0,0.0,27,nytimes
0.4201,2017-11-29 07:56:05+00:00,0.754,0.087,0.158,27,CBS
-0.1027,2017-12-02 17:00:06+00:00,0.931,0.069,0.0,27,CNN
0.0,2017-11-27 05:17:35+00:00,1.0,0.0,0.0,26,fox
0.5093,2017-12-01 09:02:06+00:00,0.829,0.0,0.171,26,BBC
0.0,2017-12-02 18:36:01+00:00,1.0,0.0,0.0,26,nytimes
0.5826,2017-11-29 06:41:12+00:00,0.848,0.0,0.152,26,CBS
-0.3818,2017-12-02 16:45:07+00:00,0.776,0.224,0.0,26,CNN
0.0,2017-12-01 08:44:23+00:00,1.0,0.0,0.0,25,BBC
0.0,2017-12-02 18:21:05+00:00,1.0,0.0,0.0,25,nytimes
-0.3597,2017-12-02 16:30:13+00:00,0.839,0.161,0.0,25,CNN
0.0,2017-11-27 01:50:27+00:00,1.0,0.0,0.0,25,fox
0.5106,2017-11-29 04:13:05+00:00,0.751,0.0,0.249,25,CBS
0.0,2017-12-02 18:06:05+00:00,1.0,0.0,0.0,24,nytimes
0.0,2017-12-01 08:44:13+00:00,1.0,0.0,0.0,24,BBC
0.4404,2017-12-02 16:15:05+00:00,0.828,0.0,0.172,24,CNN
0.25,2017-11-26 23:48:31+00:00,0.926,0.0,0.074,24,fox
0.9476,2017-11-29 04:02:16+00:00,0.551,0.0,0.449,24,CBS
-0.8519,2017-12-02 16:00:22+00:00,0.617,0.383,0.0,23,CNN
0.5859,2017-12-02 17:56:05+00:00,0.847,0.0,0.153,23,nytimes
-0.0772,2017-11-24 06:20:01+00:00,0.782,0.114,0.104,23,fox
0.6114,2017-12-01 08:43:21+00:00,0.501,0.0,0.499,23,BBC
0.6289,2017-11-29 04:00:58+00:00,0.629,0.0,0.371,23,CBS
0.7906,2017-12-02 15:45:09+00:00,0.696,0.0,0.304,22,CNN
0.0,2017-11-29 03:57:07+00:00,1.0,0.0,0.0,22,CBS
0.0,2017-12-02 17:46:01+00:00,1.0,0.0,0.0,22,nytimes
0.5267,2017-12-01 08:43:18+00:00,0.876,0.0,0.124,22,BBC
0.6696,2017-11-24 03:39:37+00:00,0.421,0.0,0.579,22,fox
0.0,2017-12-02 15:27:52+00:00,1.0,0.0,0.0,21,CNN
-0.5904,2017-11-29 03:56:08+00:00,0.742,0.258,0.0,21,CBS
0.0,2017-12-01 08:43:08+00:00,1.0,0.0,0.0,21,BBC
0.0,2017-11-24 03:30:58+00:00,1.0,0.0,0.0,21,fox
0.2263,2017-12-02 17:36:07+00:00,0.84,0.0,0.16,21,nytimes
0.0,2017-12-02 15:00:30+00:00,1.0,0.0,0.0,20,CNN
0.4404,2017-11-24 03:11:59+00:00,0.73,0.094,0.176,20,fox
0.0,2017-12-01 08:40:03+00:00,1.0,0.0,0.0,20,BBC
0.4215,2017-12-02 17:21:03+00:00,0.877,0.0,0.123,20,nytimes
0.4939,2017-11-29 03:53:09+00:00,0.775,0.0,0.225,20,CBS
0.0,2017-11-29 03:52:28+00:00,1.0,0.0,0.0,19,CBS
0.6249,2017-12-02 17:07:36+00:00,0.823,0.0,0.177,19,nytimes
0.7003,2017-11-24 01:31:56+00:00,0.147,0.0,0.853,19,fox
0.0,2017-12-01 08:20:04+00:00,1.0,0.0,0.0,19,BBC
0.8074,2017-12-02 14:55:33+00:00,0.722,0.0,0.278,19,CNN
0.5213,2017-12-01 08:00:06+00:00,0.786,0.0,0.214,18,BBC
0.0,2017-11-29 03:47:11+00:00,1.0,0.0,0.0,18,CBS
0.0,2017-12-02 14:45:04+00:00,1.0,0.0,0.0,18,CNN
-0.2732,2017-12-02 16:51:10+00:00,0.896,0.104,0.0,18,nytimes
0.6705,2017-11-24 01:23:35+00:00,0.496,0.092,0.411,18,fox
0.0,2017-12-02 16:48:14+00:00,1.0,0.0,0.0,17,nytimes
0.0,2017-11-29 03:45:32+00:00,1.0,0.0,0.0,17,CBS
0.0,2017-12-01 07:38:05+00:00,1.0,0.0,0.0,17,BBC
0.0,2017-11-24 00:39:28+00:00,1.0,0.0,0.0,17,fox
0.3818,2017-12-02 14:38:05+00:00,0.885,0.0,0.115,17,CNN
0.5994,2017-11-29 03:42:10+00:00,0.794,0.0,0.206,16,CBS
0.0,2017-12-02 14:30:51+00:00,1.0,0.0,0.0,16,CNN
0.0,2017-11-30 20:35:05+00:00,1.0,0.0,0.0,16,BBC
0.0,2017-11-24 00:26:44+00:00,1.0,0.0,0.0,16,fox
0.0772,2017-12-02 16:41:04+00:00,0.944,0.0,0.056,16,nytimes
0.0,2017-11-30 20:02:03+00:00,1.0,0.0,0.0,15,BBC
0.0,2017-11-29 03:39:21+00:00,1.0,0.0,0.0,15,CBS
-0.4404,2017-12-02 14:10:16+00:00,0.838,0.162,0.0,15,CNN
0.4522,2017-11-23 21:57:28+00:00,0.844,0.0,0.156,15,fox
-0.296,2017-12-02 16:26:06+00:00,0.804,0.196,0.0,15,nytimes
0.8878,2017-11-29 03:36:37+00:00,0.514,0.0,0.486,14,CBS
0.5423,2017-12-02 14:00:18+00:00,0.821,0.0,0.179,14,CNN
-0.0258,2017-12-02 16:11:06+00:00,0.791,0.136,0.073,14,nytimes
0.8832,2017-11-23 21:56:29+00:00,0.593,0.0,0.407,14,fox
0.0,2017-11-30 19:33:02+00:00,1.0,0.0,0.0,14,BBC
0.4215,2017-12-02 15:56:02+00:00,0.714,0.097,0.189,13,nytimes
-0.7845,2017-12-02 13:40:08+00:00,0.743,0.257,0.0,13,CNN
0.2263,2017-11-30 19:00:08+00:00,0.905,0.0,0.095,13,BBC
0.0,2017-11-29 03:34:35+00:00,1.0,0.0,0.0,13,CBS
0.5709,2017-11-23 21:49:05+00:00,0.802,0.0,0.198,13,fox
0.0,2017-12-02 15:48:27+00:00,1.0,0.0,0.0,12,nytimes
0.2716,2017-11-23 09:48:49+00:00,0.901,0.0,0.099,12,fox
0.0,2017-11-29 03:26:10+00:00,1.0,0.0,0.0,12,CBS
0.0,2017-11-30 18:33:03+00:00,1.0,0.0,0.0,12,BBC
-0.6478,2017-12-02 13:29:03+00:00,0.773,0.227,0.0,12,CNN
0.6369,2017-11-30 18:00:13+00:00,0.704,0.0,0.296,11,BBC
0.4199,2017-11-29 03:22:53+00:00,0.518,0.0,0.482,11,CBS
0.0,2017-11-23 07:02:44+00:00,1.0,0.0,0.0,11,fox
0.4019,2017-12-02 15:41:02+00:00,0.876,0.0,0.124,11,nytimes
0.0,2017-12-02 13:00:22+00:00,1.0,0.0,0.0,11,CNN
0.4003,2017-11-29 03:22:27+00:00,0.828,0.0,0.172,10,CBS
0.2263,2017-11-30 17:27:05+00:00,0.84,0.0,0.16,10,BBC
0.0,2017-12-02 15:26:01+00:00,1.0,0.0,0.0,10,nytimes
-0.4404,2017-12-02 12:30:21+00:00,0.854,0.146,0.0,10,CNN
0.0,2017-11-23 00:49:58+00:00,1.0,0.0,0.0,10,fox
0.5574,2017-11-23 00:36:42+00:00,0.783,0.0,0.217,9,fox
0.0,2017-11-30 17:00:18+00:00,1.0,0.0,0.0,9,BBC
0.0,2017-11-29 03:20:56+00:00,1.0,0.0,0.0,9,CBS
0.7574,2017-12-02 12:00:37+00:00,0.706,0.0,0.294,9,CNN
0.34,2017-12-02 15:12:04+00:00,0.893,0.0,0.107,9,nytimes
0.5994,2017-11-22 22:02:09+00:00,0.435,0.0,0.565,8,fox
0.2023,2017-12-02 15:02:01+00:00,0.909,0.0,0.091,8,nytimes
0.0,2017-11-29 03:18:45+00:00,1.0,0.0,0.0,8,CBS
0.7712,2017-11-30 16:46:25+00:00,0.749,0.0,0.251,8,BBC
0.0,2017-12-02 11:30:36+00:00,1.0,0.0,0.0,8,CNN
0.0,2017-12-02 11:01:08+00:00,1.0,0.0,0.0,7,CNN
0.0,2017-11-22 22:01:11+00:00,1.0,0.0,0.0,7,fox
0.0,2017-12-02 14:41:01+00:00,1.0,0.0,0.0,7,nytimes
0.6155,2017-11-29 03:16:50+00:00,0.713,0.0,0.287,7,CBS
0.5719,2017-11-30 16:32:03+00:00,0.709,0.0,0.291,7,BBC
0.0,2017-12-02 10:30:21+00:00,1.0,0.0,0.0,6,CNN
0.0,2017-12-02 14:21:01+00:00,1.0,0.0,0.0,6,nytimes
0.7269,2017-11-30 16:25:30+00:00,0.549,0.106,0.345,6,BBC
0.5719,2017-11-29 03:11:29+00:00,0.448,0.0,0.552,6,CBS
0.6423,2017-11-22 21:52:24+00:00,0.529,0.159,0.313,6,fox
0.4404,2017-12-02 14:01:08+00:00,0.854,0.0,0.146,5,nytimes
0.0,2017-11-29 03:10:51+00:00,1.0,0.0,0.0,5,CBS
-0.3612,2017-12-02 10:00:21+00:00,0.872,0.128,0.0,5,CNN
0.4767,2017-11-30 16:25:14+00:00,0.796,0.0,0.204,5,BBC
0.5983,2017-11-22 09:08:38+00:00,0.836,0.0,0.164,5,fox
0.0,2017-11-30 16:25:02+00:00,1.0,0.0,0.0,4,BBC
-0.6369,2017-12-02 13:41:05+00:00,0.822,0.178,0.0,4,nytimes
-0.296,2017-12-02 09:30:15+00:00,0.539,0.235,0.225,4,CNN
0.0,2017-11-22 09:08:35+00:00,1.0,0.0,0.0,4,fox
0.0,2017-11-29 03:07:06+00:00,1.0,0.0,0.0,4,CBS
-0.6597,2017-11-29 03:04:59+00:00,0.672,0.328,0.0,3,CBS
-0.4215,2017-12-02 13:21:02+00:00,0.763,0.237,0.0,3,nytimes
0.0,2017-11-22 09:07:04+00:00,1.0,0.0,0.0,3,fox
0.0,2017-11-30 16:23:02+00:00,1.0,0.0,0.0,3,BBC
-0.2023,2017-12-02 09:00:27+00:00,0.921,0.079,0.0,3,CNN
0.0,2017-11-29 02:56:00+00:00,1.0,0.0,0.0,2,CBS
0.8588,2017-11-22 09:05:48+00:00,0.387,0.0,0.613,2,fox
0.6908,2017-12-02 08:29:07+00:00,0.749,0.0,0.251,2,CNN
0.5983,2017-11-30 16:22:48+00:00,0.755,0.0,0.245,2,BBC
0.0,2017-12-02 13:02:06+00:00,1.0,0.0,0.0,2,nytimes
0.0,2017-11-22 09:05:07+00:00,1.0,0.0,0.0,1,fox
0.4574,2017-11-29 02:53:04+00:00,0.88,0.0,0.12,1,CBS
0.0,2017-12-02 08:00:15+00:00,1.0,0.0,0.0,1,CNN
0.0,2017-11-30 16:02:14+00:00,1.0,0.0,0.0,1,BBC
0.6369,2017-12-02 12:41:02+00:00,0.588,0.0,0.412,1,nytimes
